,src,dst,weight
0,0.0,338.0,0.08209654474586225
1,1.0,95.0,0.5370094835520257
2,2.0,160.0,0.6884159825941556
3,3.0,341.0,0.6144758854134057
4,4.0,388.0,0.9598394691413119
5,5.0,151.0,0.833004915158692
6,6.0,374.0,0.699587506663661
7,7.0,11.0,0.5181820849225292
8,8.0,98.0,0.9403673008122748
9,9.0,72.0,0.1525968680137948
10,10.0,176.0,0.6777364739520567
11,11.0,433.0,0.9975133605799373
12,12.0,247.0,0.394333440941661
13,13.0,89.0,0.24432356920883058
14,14.0,280.0,0.030486962568841314
15,15.0,377.0,0.8469860984444519
16,16.0,364.0,0.3156160808267289
17,17.0,208.0,0.5032743186810126
18,18.0,405.0,0.617342002046191
19,19.0,252.0,0.531008692769916
20,0.0,43.0,0.9186854986640106
21,1.0,403.0,0.43199297346698406
22,2.0,370.0,0.0881970505804961
23,3.0,156.0,0.40587773822353046
24,4.0,67.0,0.4768297964013002
25,5.0,395.0,0.7070674515393618
26,6.0,224.0,0.11216994777494438
27,7.0,82.0,0.6420231910060256
28,8.0,368.0,0.9735222378171299
29,9.0,201.0,0.1580034486011902
30,10.0,122.0,0.0927286082245733
31,11.0,127.0,0.16685838180693713
32,12.0,194.0,0.5738452563533636
33,13.0,399.0,0.4807713312408304
34,14.0,392.0,0.502149488558134
35,15.0,232.0,0.3163769269168011
36,16.0,217.0,0.8431730268057049
37,17.0,410.0,0.20808824917999913
38,18.0,104.0,0.5287511670842541
39,19.0,420.0,0.37397793912411115
40,0.0,353.0,0.3525229719204511
41,1.0,283.0,0.6352894157474196
42,2.0,183.0,0.494946228877687
43,3.0,97.0,0.5615823910587152
44,4.0,193.0,0.1617353270713633
45,5.0,444.0,0.1692807462095014
46,6.0,334.0,0.369221000977516
47,7.0,345.0,0.9040309716427937
48,8.0,179.0,0.11944242373372915
49,9.0,56.0,0.09318394677040298
50,10.0,395.0,0.41231139679523765
51,11.0,410.0,0.2634400738552175
52,12.0,280.0,0.09002473029830904
53,13.0,325.0,0.18782794418676874
54,14.0,44.0,0.40469801201157973
55,15.0,375.0,0.1685244325107641
56,16.0,20.0,0.8037906471788425
57,17.0,305.0,0.7461593546446291
58,18.0,230.0,0.17166790609169735
59,19.0,124.0,0.17527166415544504
60,0.0,9.0,0.5812605681306983
61,1.0,35.0,0.9414656514678861
62,2.0,293.0,0.19738086152854795
63,3.0,246.0,0.6547398806728648
64,4.0,383.0,0.20788598586695395
65,5.0,2.0,0.1403782133140753
66,6.0,130.0,0.6611813708577942
67,7.0,91.0,0.329057429237691
68,8.0,373.0,0.18724205783770342
69,9.0,388.0,0.31849987995368756
70,10.0,313.0,0.9394059187926177
71,11.0,360.0,0.453951550526146
72,12.0,63.0,0.47602276660967635
73,13.0,132.0,0.36226726629524353
74,14.0,363.0,0.022153305227265552
75,15.0,107.0,0.7974252165321841
76,16.0,401.0,0.6105970209081001
77,17.0,237.0,0.7639032662380792
78,18.0,266.0,0.6555982361632426
79,19.0,175.0,0.9081340742719562
80,0.0,81.0,0.04398363556034224
81,1.0,438.0,0.8434230179073844
82,2.0,87.0,0.6973298652489447
83,3.0,314.0,0.06739530973190133
84,4.0,351.0,0.528595765635054
85,5.0,178.0,0.24827708828948392
86,6.0,418.0,0.3978821687439681
87,7.0,221.0,0.665675576066238
88,8.0,288.0,0.41669966529229685
89,9.0,61.0,0.5863693953760688
90,10.0,9.0,0.7538051047882594
91,11.0,406.0,0.15689882705664338
92,12.0,258.0,0.6529507081304183
93,13.0,340.0,0.6653224113762424
94,14.0,352.0,0.6908429304725298
95,15.0,348.0,0.5952444536024052
96,16.0,235.0,0.16778074617480987
97,17.0,225.0,0.49007346369400684
98,18.0,2.0,0.7419579492955511
99,19.0,36.0,0.608635636775512
100,0.0,307.0,0.8397706357056695
101,1.0,50.0,0.9261689584779746
102,2.0,182.0,0.8747784207039296
103,3.0,197.0,0.7387258876554291
104,4.0,161.0,0.75022599804149
105,5.0,79.0,0.4073867682727327
106,6.0,370.0,0.15998319804460315
107,7.0,22.0,0.6766570932533682
108,8.0,99.0,0.42372405019768034
109,9.0,109.0,0.2194604021762281
110,10.0,294.0,0.30100313320738625
111,11.0,439.0,0.05222140513643392
112,12.0,221.0,0.6929095677477706
113,13.0,70.0,0.5719881886325845
114,14.0,83.0,0.6601782476183374
115,15.0,368.0,0.3377409157590401
116,16.0,373.0,0.8780775569368385
117,17.0,291.0,0.49960482954500784
118,18.0,225.0,0.14605721946651518
119,19.0,277.0,0.4736830073799049
120,0.0,212.0,0.0040346068381749145
121,1.0,282.0,0.794518912949076
122,2.0,233.0,0.23638229466274518
123,3.0,376.0,0.40395525979098
124,4.0,21.0,0.4650460726360368
125,5.0,236.0,0.7171582314596096
126,6.0,356.0,0.3325216781221514
127,7.0,211.0,0.1517687750056146
128,8.0,406.0,0.022049152467400468
129,9.0,145.0,0.6860302000487168
130,10.0,395.0,0.5371523622204808
131,11.0,360.0,0.8927167651489747
132,12.0,107.0,0.5538230009731773
133,13.0,359.0,0.8972482142172721
134,14.0,109.0,0.5941185451206726
135,15.0,53.0,0.33489744501721896
136,16.0,316.0,0.2900422561114354
137,17.0,236.0,0.24493546326451188
138,18.0,183.0,0.37141674107865597
139,19.0,386.0,0.3277810106054112
140,0.0,89.0,0.3141754005696129
141,1.0,370.0,0.6441262053044048
142,2.0,276.0,0.29343661940915833
143,3.0,400.0,0.030087652438755885
144,4.0,168.0,0.42839567206832696
145,5.0,98.0,0.8641803802654722
146,6.0,360.0,0.6015944641225255
147,7.0,54.0,0.6340822686248315
148,8.0,142.0,0.2685666540096756
149,9.0,279.0,0.7203055134831442
150,10.0,386.0,0.9540647865280348
151,11.0,276.0,0.7263445866514378
152,12.0,192.0,0.6400254442076172
153,13.0,368.0,0.2419290518430367
154,14.0,185.0,0.9325048868316062
155,15.0,257.0,0.19073486241644488
156,16.0,136.0,0.23921125348655736
157,17.0,291.0,0.21191784046756867
158,18.0,214.0,0.9914419053574892
159,19.0,255.0,0.8200037179950428
160,0.0,352.0,0.6524253051221179
161,1.0,358.0,0.3288852460775281
162,2.0,5.0,0.058518755676588374
163,3.0,48.0,0.14692663273187923
164,4.0,0.0,0.4375179124513735
165,5.0,11.0,0.35383956261413385
166,6.0,245.0,0.34385440033451287
167,7.0,125.0,0.708622641097236
168,8.0,86.0,0.7909390692047134
169,9.0,159.0,0.15271819276138676
170,10.0,13.0,0.9576067112385901
171,11.0,222.0,0.21063469448897754
172,12.0,424.0,0.13061879097026474
173,13.0,309.0,0.5203999602067899
174,14.0,380.0,0.8808998936194434
175,15.0,8.0,0.08319328773531909
176,16.0,392.0,0.5186527266463143
177,17.0,5.0,0.5446761945460356
178,18.0,219.0,0.9390798296517092
179,19.0,263.0,0.08373028152009443
180,0.0,413.0,0.8249105084833431
181,1.0,212.0,0.25209281523446303
