Building Types,City,District,Route Number,Population_BT,Population_L,CF_BT,CF_L,WG_B,WG_L,AQI_BT,AQI_L,RF_BT,RF_L,TOTAL CF,TOTAL WG,TOTAL AQI,TOTAL RF
Mall,Bradbury,7.000000,210.000000,9182.000000,1087.000000,45.910000,5.435000,7253.780000,858.730000,101.000000,139.000000,288.000000,171244.898000,51.345000,8112.510000,240.000000,171532.898000
Small Office,"Burbank, CA",7.000000,5.000000,194.000000,105368.000000,0.970000,526.840000,153.260000,83240.720000,75.500000,137.000000,32.000000,176685.714300,527.810000,83393.980000,212.500000,176717.714300
Medium Office,"Burbank, CA",7.000000,5.000000,5131.000000,105368.000000,25.655000,526.840000,4053.490000,83240.720000,75.500000,137.000000,60.000000,176685.714300,552.495000,87294.210000,212.500000,176745.714300
Large Office,"Burbank, CA",7.000000,5.000000,9893.000000,105368.000000,49.465000,526.840000,7815.470000,83240.720000,75.500000,137.000000,62.000000,176685.714300,576.305000,91056.190000,212.500000,176747.714300
Primary School,"Burbank, CA",7.000000,5.000000,9245.000000,105368.000000,46.225000,526.840000,7303.550000,83240.720000,75.500000,137.000000,24.000000,176685.714300,573.065000,90544.270000,212.500000,176709.714300
Secondary School,"Burbank, CA",7.000000,5.000000,17574.000000,105368.000000,87.870000,526.840000,13883.460000,83240.720000,75.500000,137.000000,66.000000,176685.714300,614.710000,97124.180000,212.500000,176751.714300
University,"Burbank, CA",7.000000,5.000000,37808.000000,105368.000000,189.040000,526.840000,29868.320000,83240.720000,101.000000,137.000000,190.000000,176685.714300,715.880000,113109.040000,238.000000,176875.714300
Hospital,"Burbank, CA",7.000000,5.000000,2969.000000,105368.000000,14.845000,526.840000,2345.510000,83240.720000,101.000000,137.000000,122.000000,176685.714300,541.685000,85586.230000,238.000000,176807.714300
Mall,"Burbank, CA",7.000000,5.000000,9182.000000,105368.000000,45.910000,526.840000,7253.780000,83240.720000,101.000000,137.000000,288.000000,176685.714300,572.750000,90494.500000,238.000000,176973.714300
Small Office,Calabasas,7.000000,101.000000,194.000000,24296.000000,0.970000,121.480000,153.260000,19193.840000,75.500000,130.000000,32.000000,192269.230800,122.450000,19347.100000,205.500000,192301.230800
Medium Office,Calabasas,7.000000,101.000000,5131.000000,24296.000000,25.655000,121.480000,4053.490000,19193.840000,75.500000,130.000000,60.000000,192269.230800,147.135000,23247.330000,205.500000,192329.230800
Large Office,Calabasas,7.000000,101.000000,9893.000000,24296.000000,49.465000,121.480000,7815.470000,19193.840000,75.500000,130.000000,62.000000,192269.230800,170.945000,27009.310000,205.500000,192331.230800
Primary School,Calabasas,7.000000,101.000000,9245.000000,24296.000000,46.225000,121.480000,7303.550000,19193.840000,75.500000,130.000000,24.000000,192269.230800,167.705000,26497.390000,205.500000,192293.230800
Secondary School,Calabasas,7.000000,101.000000,17574.000000,24296.000000,87.870000,121.480000,13883.460000,19193.840000,75.500000,130.000000,66.000000,192269.230800,209.350000,33077.300000,205.500000,192335.230800
University,Calabasas,7.000000,101.000000,37808.000000,24296.000000,189.040000,121.480000,29868.320000,19193.840000,101.000000,130.000000,190.000000,192269.230800,310.520000,49062.160000,231.000000,192459.230800
Hospital,Calabasas,7.000000,101.000000,2969.000000,24296.000000,14.845000,121.480000,2345.510000,19193.840000,101.000000,130.000000,122.000000,192269.230800,136.325000,21539.350000,231.000000,192391.230800
Mall,Calabasas,7.000000,101.000000,9182.000000,24296.000000,45.910000,121.480000,7253.780000,19193.840000,101.000000,130.000000,288.000000,192269.230800,167.390000,26447.620000,231.000000,192557.230800
Small Office,"Carson, CA",7.000000,110.000000,194.000000,93271.000000,0.970000,466.355000,153.260000,73684.090000,75.500000,124.000000,32.000000,169423.913000,467.325000,73837.350000,199.500000,169455.913000
Medium Office,"Carson, CA",7.000000,110.000000,5131.000000,93271.000000,25.655000,466.355000,4053.490000,73684.090000,75.500000,124.000000,60.000000,169423.913000,492.010000,77737.580000,199.500000,169483.913000
Large Office,"Carson, CA",7.000000,110.000000,9893.000000,93271.000000,49.465000,466.355000,7815.470000,73684.090000,75.500000,124.000000,62.000000,169423.913000,515.820000,81499.560000,199.500000,169485.913000
Primary School,"Carson, CA",7.000000,110.000000,9245.000000,93271.000000,46.225000,466.355000,7303.550000,73684.090000,75.500000,124.000000,24.000000,169423.913000,512.580000,80987.640000,199.500000,169447.913000
Secondary School,"Carson, CA",7.000000,110.000000,17574.000000,93271.000000,87.870000,466.355000,13883.460000,73684.090000,75.500000,124.000000,66.000000,169423.913000,554.225000,87567.550000,199.500000,169489.913000
University,"Carson, CA",7.000000,110.000000,37808.000000,93271.000000,189.040000,466.355000,29868.320000,73684.090000,101.000000,124.000000,190.000000,169423.913000,655.395000,103552.410000,225.000000,169613.913000
Hospital,"Carson, CA",7.000000,110.000000,2969.000000,93271.000000,14.845000,466.355000,2345.510000,73684.090000,101.000000,124.000000,122.000000,169423.913000,481.200000,76029.600000,225.000000,169545.913000
Mall,"Carson, CA",7.000000,110.000000,9182.000000,93271.000000,45.910000,466.355000,7253.780000,73684.090000,101.000000,124.000000,288.000000,169423.913000,512.265000,80937.870000,225.000000,169711.913000
Small Office,Castaic,7.000000,5.000000,194.000000,19015.000000,0.970000,95.075000,153.260000,15021.850000,75.500000,130.000000,32.000000,176685.714300,96.045000,15175.110000,205.500000,176717.714300
Medium Office,Castaic,7.000000,5.000000,5131.000000,19015.000000,25.655000,95.075000,4053.490000,15021.850000,75.500000,130.000000,60.000000,176685.714300,120.730000,19075.340000,205.500000,176745.714300
Large Office,Castaic,7.000000,5.000000,9893.000000,19015.000000,49.465000,95.075000,7815.470000,15021.850000,75.500000,130.000000,62.000000,176685.714300,144.540000,22837.320000,205.500000,176747.714300
Primary School,Castaic,7.000000,5.000000,9245.000000,19015.000000,46.225000,95.075000,7303.550000,15021.850000,75.500000,130.000000,24.000000,176685.714300,141.300000,22325.400000,205.500000,176709.714300
Secondary School,Castaic,7.000000,5.000000,17574.000000,19015.000000,87.870000,95.075000,13883.460000,15021.850000,75.500000,130.000000,66.000000,176685.714300,182.945000,28905.310000,205.500000,176751.714300
University,Castaic,7.000000,5.000000,37808.000000,19015.000000,189.040000,95.075000,29868.320000,15021.850000,101.000000,130.000000,190.000000,176685.714300,284.115000,44890.170000,231.000000,176875.714300
Hospital,Castaic,7.000000,5.000000,2969.000000,19015.000000,14.845000,95.075000,2345.510000,15021.850000,101.000000,130.000000,122.000000,176685.714300,109.920000,17367.360000,231.000000,176807.714300
Mall,Castaic,7.000000,5.000000,9182.000000,19015.000000,45.910000,95.075000,7253.780000,15021.850000,101.000000,130.000000,288.000000,176685.714300,140.985000,22275.630000,231.000000,176973.714300
Small Office,Cerritos,7.000000,91.000000,194.000000,50004.000000,0.970000,250.020000,153.260000,39503.160000,75.500000,140.000000,32.000000,217095.238100,250.990000,39656.420000,215.500000,217127.238100
Medium Office,Cerritos,7.000000,91.000000,5131.000000,50004.000000,25.655000,250.020000,4053.490000,39503.160000,75.500000,140.000000,60.000000,217095.238100,275.675000,43556.650000,215.500000,217155.238100
Large Office,Cerritos,7.000000,91.000000,9893.000000,50004.000000,49.465000,250.020000,7815.470000,39503.160000,75.500000,140.000000,62.000000,217095.238100,299.485000,47318.630000,215.500000,217157.238100
Primary School,Cerritos,7.000000,91.000000,9245.000000,50004.000000,46.225000,250.020000,7303.550000,39503.160000,75.500000,140.000000,24.000000,217095.238100,296.245000,46806.710000,215.500000,217119.238100
Secondary School,Cerritos,7.000000,91.000000,17574.000000,50004.000000,87.870000,250.020000,13883.460000,39503.160000,75.500000,140.000000,66.000000,217095.238100,337.890000,53386.620000,215.500000,217161.238100
University,Cerritos,7.000000,91.000000,37808.000000,50004.000000,189.040000,250.020000,29868.320000,39503.160000,101.000000,140.000000,190.000000,217095.238100,439.060000,69371.480000,241.000000,217285.238100
Hospital,Cerritos,7.000000,91.000000,2969.000000,50004.000000,14.845000,250.020000,2345.510000,39503.160000,101.000000,140.000000,122.000000,217095.238100,264.865000,41848.670000,241.000000,217217.238100
Mall,Cerritos,7.000000,91.000000,9182.000000,50004.000000,45.910000,250.020000,7253.780000,39503.160000,101.000000,140.000000,288.000000,217095.238100,295.930000,46756.940000,241.000000,217383.238100
Small Office,"Charter Oak, CA",7.000000,39.000000,194.000000,9310.000000,0.970000,46.550000,153.260000,7354.900000,75.500000,143.000000,32.000000,1190.000000,47.520000,7508.160000,218.500000,1222.000000
Medium Office,"Charter Oak, CA",7.000000,39.000000,5131.000000,9310.000000,25.655000,46.550000,4053.490000,7354.900000,75.500000,143.000000,60.000000,1190.000000,72.205000,11408.390000,218.500000,1250.000000
Large Office,"Charter Oak, CA",7.000000,39.000000,9893.000000,9310.000000,49.465000,46.550000,7815.470000,7354.900000,75.500000,143.000000,62.000000,1190.000000,96.015000,15170.370000,218.500000,1252.000000
Primary School,"Charter Oak, CA",7.000000,39.000000,9245.000000,9310.000000,46.225000,46.550000,7303.550000,7354.900000,75.500000,143.000000,24.000000,1190.000000,92.775000,14658.450000,218.500000,1214.000000
Secondary School,"Charter Oak, CA",7.000000,39.000000,17574.000000,9310.000000,87.870000,46.550000,13883.460000,7354.900000,75.500000,143.000000,66.000000,1190.000000,134.420000,21238.360000,218.500000,1256.000000
University,"Charter Oak, CA",7.000000,39.000000,37808.000000,9310.000000,189.040000,46.550000,29868.320000,7354.900000,101.000000,143.000000,190.000000,1190.000000,235.590000,37223.220000,244.000000,1380.000000
Hospital,"Charter Oak, CA",7.000000,39.000000,2969.000000,9310.000000,14.845000,46.550000,2345.510000,7354.900000,101.000000,143.000000,122.000000,1190.000000,61.395000,9700.410000,244.000000,1312.000000
Mall,"Charter Oak, CA",7.000000,39.000000,9182.000000,9310.000000,45.910000,46.550000,7253.780000,7354.900000,101.000000,143.000000,288.000000,1190.000000,92.460000,14608.680000,244.000000,1478.000000
Small Office,Citrus,7.000000,210.000000,194.000000,10866.000000,0.970000,54.330000,153.260000,8584.140000,75.500000,143.000000,32.000000,171244.898000,55.300000,8737.400000,218.500000,171276.898000
Medium Office,Citrus,7.000000,210.000000,5131.000000,10866.000000,25.655000,54.330000,4053.490000,8584.140000,75.500000,143.000000,60.000000,171244.898000,79.985000,12637.630000,218.500000,171304.898000
Large Office,Citrus,7.000000,210.000000,9893.000000,10866.000000,49.465000,54.330000,7815.470000,8584.140000,75.500000,143.000000,62.000000,171244.898000,103.795000,16399.610000,218.500000,171306.898000
Primary School,Citrus,7.000000,210.000000,9245.000000,10866.000000,46.225000,54.330000,7303.550000,8584.140000,75.500000,143.000000,24.000000,171244.898000,100.555000,15887.690000,218.500000,171268.898000
Secondary School,Citrus,7.000000,210.000000,17574.000000,10866.000000,87.870000,54.330000,13883.460000,8584.140000,75.500000,143.000000,66.000000,171244.898000,142.200000,22467.600000,218.500000,171310.898000
University,Citrus,7.000000,210.000000,37808.000000,10866.000000,189.040000,54.330000,29868.320000,8584.140000,101.000000,143.000000,190.000000,171244.898000,243.370000,38452.460000,244.000000,171434.898000
Hospital,Citrus,7.000000,210.000000,2969.000000,10866.000000,14.845000,54.330000,2345.510000,8584.140000,101.000000,143.000000,122.000000,171244.898000,69.175000,10929.650000,244.000000,171366.898000
Mall,Citrus,7.000000,210.000000,9182.000000,10866.000000,45.910000,54.330000,7253.780000,8584.140000,101.000000,143.000000,288.000000,171244.898000,100.240000,15837.920000,244.000000,171532.898000
Small Office,"Claremont, CA",7.000000,66.000000,194.000000,36054.000000,0.970000,180.270000,153.260000,28482.660000,75.500000,144.000000,32.000000,19800.000000,181.240000,28635.920000,219.500000,19832.000000
Medium Office,"Claremont, CA",7.000000,66.000000,5131.000000,36054.000000,25.655000,180.270000,4053.490000,28482.660000,75.500000,144.000000,60.000000,19800.000000,205.925000,32536.150000,219.500000,19860.000000
Large Office,"Claremont, CA",7.000000,66.000000,9893.000000,36054.000000,49.465000,180.270000,7815.470000,28482.660000,75.500000,144.000000,62.000000,19800.000000,229.735000,36298.130000,219.500000,19862.000000
Primary School,"Claremont, CA",7.000000,66.000000,9245.000000,36054.000000,46.225000,180.270000,7303.550000,28482.660000,75.500000,144.000000,24.000000,19800.000000,226.495000,35786.210000,219.500000,19824.000000
Secondary School,"Claremont, CA",7.000000,66.000000,17574.000000,36054.000000,87.870000,180.270000,13883.460000,28482.660000,75.500000,144.000000,66.000000,19800.000000,268.140000,42366.120000,219.500000,19866.000000
University,"Claremont, CA",7.000000,66.000000,37808.000000,36054.000000,189.040000,180.270000,29868.320000,28482.660000,101.000000,144.000000,190.000000,19800.000000,369.310000,58350.980000,245.000000,19990.000000
Hospital,"Claremont, CA",7.000000,66.000000,2969.000000,36054.000000,14.845000,180.270000,2345.510000,28482.660000,101.000000,144.000000,122.000000,19800.000000,195.115000,30828.170000,245.000000,19922.000000
Mall,"Claremont, CA",7.000000,66.000000,9182.000000,36054.000000,45.910000,180.270000,7253.780000,28482.660000,101.000000,144.000000,288.000000,19800.000000,226.180000,35736.440000,245.000000,20088.000000
Small Office,"Commerce, CA",7.000000,5.000000,194.000000,13076.000000,0.970000,65.380000,153.260000,10330.040000,75.500000,140.000000,32.000000,176685.714300,66.350000,10483.300000,215.500000,176717.714300
Medium Office,"Commerce, CA",7.000000,5.000000,5131.000000,13076.000000,25.655000,65.380000,4053.490000,10330.040000,75.500000,140.000000,60.000000,176685.714300,91.035000,14383.530000,215.500000,176745.714300
Large Office,"Commerce, CA",7.000000,5.000000,9893.000000,13076.000000,49.465000,65.380000,7815.470000,10330.040000,75.500000,140.000000,62.000000,176685.714300,114.845000,18145.510000,215.500000,176747.714300
Primary School,"Commerce, CA",7.000000,5.000000,9245.000000,13076.000000,46.225000,65.380000,7303.550000,10330.040000,75.500000,140.000000,24.000000,176685.714300,111.605000,17633.590000,215.500000,176709.714300
Secondary School,"Commerce, CA",7.000000,5.000000,17574.000000,13076.000000,87.870000,65.380000,13883.460000,10330.040000,75.500000,140.000000,66.000000,176685.714300,153.250000,24213.500000,215.500000,176751.714300
University,"Commerce, CA",7.000000,5.000000,37808.000000,13076.000000,189.040000,65.380000,29868.320000,10330.040000,101.000000,140.000000,190.000000,176685.714300,254.420000,40198.360000,241.000000,176875.714300
Hospital,"Commerce, CA",7.000000,5.000000,2969.000000,13076.000000,14.845000,65.380000,2345.510000,10330.040000,101.000000,140.000000,122.000000,176685.714300,80.225000,12675.550000,241.000000,176807.714300
Mall,"Commerce, CA",7.000000,5.000000,9182.000000,13076.000000,45.910000,65.380000,7253.780000,10330.040000,101.000000,140.000000,288.000000,176685.714300,111.290000,17583.820000,241.000000,176973.714300
Small Office,"Compton, CA",7.000000,710.000000,194.000000,98597.000000,0.970000,492.985000,153.260000,77891.630000,75.500000,135.000000,32.000000,119689.655200,493.955000,78044.890000,210.500000,119721.655200
Medium Office,"Compton, CA",7.000000,710.000000,5131.000000,98597.000000,25.655000,492.985000,4053.490000,77891.630000,75.500000,135.000000,60.000000,119689.655200,518.640000,81945.120000,210.500000,119749.655200
Large Office,"Compton, CA",7.000000,710.000000,9893.000000,98597.000000,49.465000,492.985000,7815.470000,77891.630000,75.500000,135.000000,62.000000,119689.655200,542.450000,85707.100000,210.500000,119751.655200
Primary School,"Compton, CA",7.000000,710.000000,9245.000000,98597.000000,46.225000,492.985000,7303.550000,77891.630000,75.500000,135.000000,24.000000,119689.655200,539.210000,85195.180000,210.500000,119713.655200
Secondary School,"Compton, CA",7.000000,710.000000,17574.000000,98597.000000,87.870000,492.985000,13883.460000,77891.630000,75.500000,135.000000,66.000000,119689.655200,580.855000,91775.090000,210.500000,119755.655200
University,"Compton, CA",7.000000,710.000000,37808.000000,98597.000000,189.040000,492.985000,29868.320000,77891.630000,101.000000,135.000000,190.000000,119689.655200,682.025000,107759.950000,236.000000,119879.655200
Hospital,"Compton, CA",7.000000,710.000000,2969.000000,98597.000000,14.845000,492.985000,2345.510000,77891.630000,101.000000,135.000000,122.000000,119689.655200,507.830000,80237.140000,236.000000,119811.655200
Mall,"Compton, CA",7.000000,710.000000,9182.000000,98597.000000,45.910000,492.985000,7253.780000,77891.630000,101.000000,135.000000,288.000000,119689.655200,538.895000,85145.410000,236.000000,119977.655200
Small Office,Covina,7.000000,39.000000,194.000000,49002.000000,0.970000,245.010000,153.260000,38711.580000,75.500000,143.000000,32.000000,1190.000000,245.980000,38864.840000,218.500000,1222.000000
Medium Office,Covina,7.000000,39.000000,5131.000000,49002.000000,25.655000,245.010000,4053.490000,38711.580000,75.500000,143.000000,60.000000,1190.000000,270.665000,42765.070000,218.500000,1250.000000
Large Office,Covina,7.000000,39.000000,9893.000000,49002.000000,49.465000,245.010000,7815.470000,38711.580000,75.500000,143.000000,62.000000,1190.000000,294.475000,46527.050000,218.500000,1252.000000
Primary School,Covina,7.000000,39.000000,9245.000000,49002.000000,46.225000,245.010000,7303.550000,38711.580000,75.500000,143.000000,24.000000,1190.000000,291.235000,46015.130000,218.500000,1214.000000
Secondary School,Covina,7.000000,39.000000,17574.000000,49002.000000,87.870000,245.010000,13883.460000,38711.580000,75.500000,143.000000,66.000000,1190.000000,332.880000,52595.040000,218.500000,1256.000000
University,Covina,7.000000,39.000000,37808.000000,49002.000000,189.040000,245.010000,29868.320000,38711.580000,101.000000,143.000000,190.000000,1190.000000,434.050000,68579.900000,244.000000,1380.000000
Hospital,Covina,7.000000,39.000000,2969.000000,49002.000000,14.845000,245.010000,2345.510000,38711.580000,101.000000,143.000000,122.000000,1190.000000,259.855000,41057.090000,244.000000,1312.000000
Mall,Covina,7.000000,39.000000,9182.000000,49002.000000,45.910000,245.010000,7253.780000,38711.580000,101.000000,143.000000,288.000000,1190.000000,290.920000,45965.360000,244.000000,1478.000000
Small Office,"Cudahy, CA",7.000000,710.000000,194.000000,24291.000000,0.970000,121.455000,153.260000,19189.890000,75.500000,140.000000,32.000000,119689.655200,122.425000,19343.150000,215.500000,119721.655200
Medium Office,"Cudahy, CA",7.000000,710.000000,5131.000000,24291.000000,25.655000,121.455000,4053.490000,19189.890000,75.500000,140.000000,60.000000,119689.655200,147.110000,23243.380000,215.500000,119749.655200
Large Office,"Cudahy, CA",7.000000,710.000000,9893.000000,24291.000000,49.465000,121.455000,7815.470000,19189.890000,75.500000,140.000000,62.000000,119689.655200,170.920000,27005.360000,215.500000,119751.655200
Primary School,"Cudahy, CA",7.000000,710.000000,9245.000000,24291.000000,46.225000,121.455000,7303.550000,19189.890000,75.500000,140.000000,24.000000,119689.655200,167.680000,26493.440000,215.500000,119713.655200
Secondary School,"Cudahy, CA",7.000000,710.000000,17574.000000,24291.000000,87.870000,121.455000,13883.460000,19189.890000,75.500000,140.000000,66.000000,119689.655200,209.325000,33073.350000,215.500000,119755.655200
University,"Cudahy, CA",7.000000,710.000000,37808.000000,24291.000000,189.040000,121.455000,29868.320000,19189.890000,101.000000,140.000000,190.000000,119689.655200,310.495000,49058.210000,241.000000,119879.655200
Hospital,"Cudahy, CA",7.000000,710.000000,2969.000000,24291.000000,14.845000,121.455000,2345.510000,19189.890000,101.000000,140.000000,122.000000,119689.655200,136.300000,21535.400000,241.000000,119811.655200
Mall,"Cudahy, CA",7.000000,710.000000,9182.000000,24291.000000,45.910000,121.455000,7253.780000,19189.890000,101.000000,140.000000,288.000000,119689.655200,167.365000,26443.670000,241.000000,119977.655200
Small Office,Culver City,7.000000,10.000000,194.000000,39691.000000,0.970000,198.455000,153.260000,31355.890000,75.500000,134.000000,32.000000,225827.586200,199.425000,31509.150000,209.500000,225859.586200
Medium Office,Culver City,7.000000,10.000000,5131.000000,39691.000000,25.655000,198.455000,4053.490000,31355.890000,75.500000,134.000000,60.000000,225827.586200,224.110000,35409.380000,209.500000,225887.586200
Large Office,Culver City,7.000000,10.000000,9893.000000,39691.000000,49.465000,198.455000,7815.470000,31355.890000,75.500000,134.000000,62.000000,225827.586200,247.920000,39171.360000,209.500000,225889.586200
Primary School,Culver City,7.000000,10.000000,9245.000000,39691.000000,46.225000,198.455000,7303.550000,31355.890000,75.500000,134.000000,24.000000,225827.586200,244.680000,38659.440000,209.500000,225851.586200
Secondary School,Culver City,7.000000,10.000000,17574.000000,39691.000000,87.870000,198.455000,13883.460000,31355.890000,75.500000,134.000000,66.000000,225827.586200,286.325000,45239.350000,209.500000,225893.586200
University,Culver City,7.000000,10.000000,37808.000000,39691.000000,189.040000,198.455000,29868.320000,31355.890000,101.000000,134.000000,190.000000,225827.586200,387.495000,61224.210000,235.000000,226017.586200
Hospital,Culver City,7.000000,10.000000,2969.000000,39691.000000,14.845000,198.455000,2345.510000,31355.890000,101.000000,134.000000,122.000000,225827.586200,213.300000,33701.400000,235.000000,225949.586200
Mall,Culver City,7.000000,10.000000,9182.000000,39691.000000,45.910000,198.455000,7253.780000,31355.890000,101.000000,134.000000,288.000000,225827.586200,244.365000,38609.670000,235.000000,226115.586200
Small Office,Del Aire,7.000000,405.000000,194.000000,10001.000000,0.970000,50.005000,153.260000,7900.790000,75.500000,134.000000,32.000000,237480.000000,50.975000,8054.050000,209.500000,237512.000000
Medium Office,Del Aire,7.000000,405.000000,5131.000000,10001.000000,25.655000,50.005000,4053.490000,7900.790000,75.500000,134.000000,60.000000,237480.000000,75.660000,11954.280000,209.500000,237540.000000
Large Office,Del Aire,7.000000,405.000000,9893.000000,10001.000000,49.465000,50.005000,7815.470000,7900.790000,75.500000,134.000000,62.000000,237480.000000,99.470000,15716.260000,209.500000,237542.000000
Primary School,Del Aire,7.000000,405.000000,9245.000000,10001.000000,46.225000,50.005000,7303.550000,7900.790000,75.500000,134.000000,24.000000,237480.000000,96.230000,15204.340000,209.500000,237504.000000
Secondary School,Del Aire,7.000000,405.000000,17574.000000,10001.000000,87.870000,50.005000,13883.460000,7900.790000,75.500000,134.000000,66.000000,237480.000000,137.875000,21784.250000,209.500000,237546.000000
University,Del Aire,7.000000,405.000000,37808.000000,10001.000000,189.040000,50.005000,29868.320000,7900.790000,101.000000,134.000000,190.000000,237480.000000,239.045000,37769.110000,235.000000,237670.000000
Hospital,Del Aire,7.000000,405.000000,2969.000000,10001.000000,14.845000,50.005000,2345.510000,7900.790000,101.000000,134.000000,122.000000,237480.000000,64.850000,10246.300000,235.000000,237602.000000
Mall,Del Aire,7.000000,405.000000,9182.000000,10001.000000,45.910000,50.005000,7253.780000,7900.790000,101.000000,134.000000,288.000000,237480.000000,95.915000,15154.570000,235.000000,237768.000000
Small Office,Desert View Highlands,7.000000,14.000000,194.000000,2360.000000,0.970000,11.800000,153.260000,1864.400000,75.500000,94.600000,32.000000,82357.142860,12.770000,2017.660000,170.100000,82389.142860
Medium Office,Desert View Highlands,7.000000,14.000000,5131.000000,2360.000000,25.655000,11.800000,4053.490000,1864.400000,75.500000,94.600000,60.000000,82357.142860,37.455000,5917.890000,170.100000,82417.142860
Large Office,Desert View Highlands,7.000000,14.000000,9893.000000,2360.000000,49.465000,11.800000,7815.470000,1864.400000,75.500000,94.600000,62.000000,82357.142860,61.265000,9679.870000,170.100000,82419.142860
Primary School,Desert View Highlands,7.000000,14.000000,9245.000000,2360.000000,46.225000,11.800000,7303.550000,1864.400000,75.500000,94.600000,24.000000,82357.142860,58.025000,9167.950000,170.100000,82381.142860
Secondary School,Desert View Highlands,7.000000,14.000000,17574.000000,2360.000000,87.870000,11.800000,13883.460000,1864.400000,75.500000,94.600000,66.000000,82357.142860,99.670000,15747.860000,170.100000,82423.142860
University,Desert View Highlands,7.000000,14.000000,37808.000000,2360.000000,189.040000,11.800000,29868.320000,1864.400000,101.000000,94.600000,190.000000,82357.142860,200.840000,31732.720000,195.600000,82547.142860
Hospital,Desert View Highlands,7.000000,14.000000,2969.000000,2360.000000,14.845000,11.800000,2345.510000,1864.400000,101.000000,94.600000,122.000000,82357.142860,26.645000,4209.910000,195.600000,82479.142860
Mall,Desert View Highlands,7.000000,14.000000,9182.000000,2360.000000,45.910000,11.800000,7253.780000,1864.400000,101.000000,94.600000,288.000000,82357.142860,57.710000,9118.180000,195.600000,82645.142860
Small Office,Diamond Bar,7.000000,57.000000,194.000000,56784.000000,0.970000,283.920000,153.260000,44859.360000,75.500000,145.000000,32.000000,135733.333300,284.890000,45012.620000,220.500000,135765.333300
Medium Office,Diamond Bar,7.000000,57.000000,5131.000000,56784.000000,25.655000,283.920000,4053.490000,44859.360000,75.500000,145.000000,60.000000,135733.333300,309.575000,48912.850000,220.500000,135793.333300
Large Office,Diamond Bar,7.000000,57.000000,9893.000000,56784.000000,49.465000,283.920000,7815.470000,44859.360000,75.500000,145.000000,62.000000,135733.333300,333.385000,52674.830000,220.500000,135795.333300
Primary School,Diamond Bar,7.000000,57.000000,9245.000000,56784.000000,46.225000,283.920000,7303.550000,44859.360000,75.500000,145.000000,24.000000,135733.333300,330.145000,52162.910000,220.500000,135757.333300
Secondary School,Diamond Bar,7.000000,57.000000,17574.000000,56784.000000,87.870000,283.920000,13883.460000,44859.360000,75.500000,145.000000,66.000000,135733.333300,371.790000,58742.820000,220.500000,135799.333300
University,Diamond Bar,7.000000,57.000000,37808.000000,56784.000000,189.040000,283.920000,29868.320000,44859.360000,101.000000,145.000000,190.000000,135733.333300,472.960000,74727.680000,246.000000,135923.333300
Hospital,Diamond Bar,7.000000,57.000000,2969.000000,56784.000000,14.845000,283.920000,2345.510000,44859.360000,101.000000,145.000000,122.000000,135733.333300,298.765000,47204.870000,246.000000,135855.333300
Mall,Diamond Bar,7.000000,57.000000,9182.000000,56784.000000,45.910000,283.920000,7253.780000,44859.360000,101.000000,145.000000,288.000000,135733.333300,329.830000,52113.140000,246.000000,136021.333300
Small Office,"Downey, CA",7.000000,605.000000,194.000000,114172.000000,0.970000,570.860000,153.260000,90195.880000,75.500000,140.000000,32.000000,211740.740700,571.830000,90349.140000,215.500000,211772.740700
Medium Office,"Downey, CA",7.000000,605.000000,5131.000000,114172.000000,25.655000,570.860000,4053.490000,90195.880000,75.500000,140.000000,60.000000,211740.740700,596.515000,94249.370000,215.500000,211800.740700
Large Office,"Downey, CA",7.000000,605.000000,9893.000000,114172.000000,49.465000,570.860000,7815.470000,90195.880000,75.500000,140.000000,62.000000,211740.740700,620.325000,98011.350000,215.500000,211802.740700
Primary School,"Downey, CA",7.000000,605.000000,9245.000000,114172.000000,46.225000,570.860000,7303.550000,90195.880000,75.500000,140.000000,24.000000,211740.740700,617.085000,97499.430000,215.500000,211764.740700
Secondary School,"Downey, CA",7.000000,605.000000,17574.000000,114172.000000,87.870000,570.860000,13883.460000,90195.880000,75.500000,140.000000,66.000000,211740.740700,658.730000,104079.340000,215.500000,211806.740700
University,"Downey, CA",7.000000,605.000000,37808.000000,114172.000000,189.040000,570.860000,29868.320000,90195.880000,101.000000,140.000000,190.000000,211740.740700,759.900000,120064.200000,241.000000,211930.740700
Hospital,"Downey, CA",7.000000,605.000000,2969.000000,114172.000000,14.845000,570.860000,2345.510000,90195.880000,101.000000,140.000000,122.000000,211740.740700,585.705000,92541.390000,241.000000,211862.740700
Mall,"Downey, CA",7.000000,605.000000,9182.000000,114172.000000,45.910000,570.860000,7253.780000,90195.880000,101.000000,140.000000,288.000000,211740.740700,616.770000,97449.660000,241.000000,212028.740700
Small Office,Duarte,7.000000,210.000000,194.000000,22006.000000,0.970000,110.030000,153.260000,17384.740000,75.500000,139.000000,32.000000,171244.898000,111.000000,17538.000000,214.500000,171276.898000
Medium Office,Duarte,7.000000,210.000000,5131.000000,22006.000000,25.655000,110.030000,4053.490000,17384.740000,75.500000,139.000000,60.000000,171244.898000,135.685000,21438.230000,214.500000,171304.898000
Large Office,Duarte,7.000000,210.000000,9893.000000,22006.000000,49.465000,110.030000,7815.470000,17384.740000,75.500000,139.000000,62.000000,171244.898000,159.495000,25200.210000,214.500000,171306.898000
